Country_code_A3;Name;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
ABW;Aruba;52,4675868999585;58,4457791874834;66,7025578695407;62,3015040891438;68,506352603572;75,8292645494941;58,7343848749362;81,162564111356;99,3969442168695;127,218931612709;141,397848553774;144,544903090668;135,303280495582;155,008048112804;163,54977369187;171,209359964063;154,507232581016;159,921907077683;152,182180190988;159,364419758244;141,075838191717;135,129301128222;173,603909145523;169,526160796243;172,058515980582;169,902421185516;172,877400540418;158,317865306579;154,667161853689
AFG;Afghanistan;10625,1078666089;10830,8811038816;10950,5367322995;11171,8215005548;11299,5948737813;11815,2676021596;13155,1591117898;14252,9548398917;15083,5007529609;16150,7498647496;14389,9772873901;12774,8561999162;15412,9112619407;16002,8673025383;16170,537394442;16123,6459181082;16182,470582559;16596,7980193027;18068,8954799727;18810,3985339849;20963,7973332128;21558,2331577684;21216,8187994985;20942,2067871934;21451,7301949409;21147,5387815796;21050,7782668807;21302,7083655574;21196,1321465138
AGO;Angola;32156,5967601987;32464,2352784907;32567,3882878683;32602,1462769302;34115,3533369318;34801,9652237728;40930,1266545059;40057,6157206137;47268,0533961505;45761,8170226059;39904,1939050856;58991,9834321216;59971,1401123336;60246,3900825226;66050,4646767641;67170,739226816;62893,7877691776;62947,6743818384;64069,473007591;65693,1041421434;67693,4672065217;66277,3662764767;67652,0874103944;67200,2776122588;68146,5812239629;69470,3412290083;69064,5576030591;71539,3427226862;66445,7513148108
AIA;Anguilla;2,72660843034238;3,00926747996433;3,13016865032473;3,40682692148824;3,93245663176977;4,4882185430301;4,49325958269214;4,19468924504846;3,99848813009256;3,96058994277949;4,46119823107809;4,62639779965895;4,02295194909635;4,48181970584379;4,4279650812737;4,59075396785462;4,57316822381549;4,55436692705916;5,03612012470677;5,79550711413961;6,37305359794505;6,6605446672241;6,70542029420152;6,99323191698269;7,02791041579225;7,07879591453168;7,15916955895995;7,2726950699808;7,18154440103569
AIR;Int. Aviation;1322,24842678094;1285,26816767161;1325,9680029429;1352,13142967059;1424,83870178853;1481,4168510297;1541,11234572132;1620,1906991602;1675,33337813178;1747,12598159086;1812,91145066005;1776,56438807576;1879,03858126429;1870,58108043981;2018,68414397695;2149,11383940438;2227,7105846946;2289,37034070066;2327,09808673879;2216,41330977931;2339,39990129912;2426,22218550791;2445,36642273752;2487,01553638258;2570,11498963027;2712,21896430472;2831,8835653271;2990,77393301036;3116,25704561934
ALB;Albania;4260,82398354269;3853,03480583444;3551,11444029946;3755,74335263853;4454,07017586179;4417,98344070028;4129,35429945754;3973,5713967117;3938,73616665376;4589,13550282563;4606,24197636715;4606,34997049407;4762,95239868712;4742,84845726574;4611,91939089283;4368,82145138024;4714,53140077876;4542,71388461854;4176,32654714568;4092,73669758328;4346,63081196555;4426,24347367733;4294,44232133692;4198,18236322061;4651,4947522533;4577,56662089444;4528,35052621028;4926,75115637126;5086,41732989811
ANT;Netherlands Antilles;228,094143346445;235,579196286797;248,016585487053;215,260199337304;243,996526336516;245,146209574667;258,167663138988;434,611107045823;504,500288876071;591,693358094626;615,879975626119;626,178622185563;572,240159949375;570,943897517155;601,837645316685;636,930149393695;613,51943246967;668,348181905578;669,437267204435;609,24400652357;459,44664644896;564,052535511218;498,12845446266;464,444262887983;511,331290910694;516,270905179517;460,654061441701;422,086876165394;372,206430688474
ARE;United Arab Emirates;7161,87063789097;7411,50716904817;7757,68268110388;8616,15162130277;8847,98150206759;9599,88815128345;10160,4109692215;10377,8162346934;10313,33522943;11288,018784779;12926,7337506095;14147,0161110368;15250,3393893628;17468,9336364203;18836,161476864;20836,4170507238;22272,2079985202;22480,8523723272;24652,593193863;24620,3351889383;24944,4168728;25559,5279925103;27527,7694210703;29265,1574653787;30907,8217543718;31827,5518793834;34871,8392883388;37305,89738157;38592,9007223098
ARG;Argentina;247217,663646644;246609,312200672;249510,577037083;247326,240080006;250635,872521755;255865,360376595;255588,65081135;256532,805746422;255187,700632097;261172,403051855;259864,415124712;307631,188408801;314162,173315272;330668,357476473;337030,184932415;340301,479598852;346078,145252767;347408,496340604;348318,678862692;334389,433675289;329099,059221854;295991,083942626;298185,857501096;305954,807261215;312016,358385304;313814,95433879;273980,07595746;276767,152678485;274442,274734974
ARM;Armenia;4676,55836114306;4040,57941138938;3129,84598072578;2349,86066196057;2191,87010270285;2177,50916334922;2181,72289296376;2206,18766372614;2066,95950620431;2057,88622835217;2157,49793195443;2340,71562160587;2367,98744575372;2429,68748919059;2630,19364793961;2659,48531879265;2656,11021400154;2730,89741895207;2765,47652728549;2589,41611430902;2555,52740684937;2439,2301741545;2607,80112525031;2669,18392858313;3124,32135894771;3177,90363384835;3214,05299302583;3092,81763702249;2960,65907166677
ASM;American Samoa;19,422084330622;19,691942054782;19,959507119297;20,222654951639;20,4770724919285;20,7363822666245;20,9681184408815;21,198496307497;21,434083749573;21,65243149696;21,85542947446;22,019334500824;22,098120628997;22,1776010662775;22,1603044797195;22,125833359449;22,000878212045;21,953965381592;21,7876782358285;21,6107962487425;21,5213830287665;22,2915554451725;22,210575567197;22,1690308297795;22,1885821718295;22,185125195168;22,548856219174;22,479573578285;22,402148544275
ATG;Antigua and Barbuda;100,457773481001;103,559607202497;106,336206146612;103,427985479718;107,600886857796;110,495016980894;110,222846440802;111,856867722187;122,061414435975;138,376705875746;134,579390180964;135,395453392239;133,556746127582;140,368118772631;144,275118061657;143,892906595722;140,41089019668;143,411742164839;144,498170595017;151,480188896142;125,253187243855;137,630942490783;147,551453594716;149,069421653979;151,643961172394;150,081956671031;154,963823684605;143,350432147862;140,743539025672
AUS;Australia;238478,169562735;237485,633323131;234937,331869412;234564,387787488;237131,348130056;235263,107917825;240614,395135394;242879,657492105;245438,914699398;246334,053587312;250615,414255071;261599,385791386;260750,384940761;256868,440882836;263835,202528793;266114,567496569;264288,72004328;260765,502272765;257676,175403865;260791,222623058;258356,970466157;202837,524949758;194289,959142245;195478,653245014;194459,502371037;190425,139402046;185652,757426971;192602,129913291;190353,631974248
AUT;Austria;22509,1577311196;22695,579235341;22302,5491446671;22118,7345399714;21693,7448568329;21667,8461003483;21732,8330737205;21987,8049294543;22034,1263885253;21789,6392444659;21941,9333865799;20828,1213952414;21367,1339027182;21799,7849021992;21192,2831960744;20736,7854055618;20585,8831006611;20267,8582327382;20072,7776615356;19259,237380632;20126,9165340337;20308,5595074363;19766,8622298274;19926,5289234136;19930,2752906092;19867,0361304002;19927,1073455678;20047,9845279892;19732,1485350331
AZE;Azerbaijan;16847,429914091;15065,7515684158;14562,3361485496;12631,5840817265;11547,3501182237;11118,8997980325;10782,9219172623;10891,7536827888;10401,6091759655;10513,4056469985;11325,2519407928;11724,8770150023;12012,3564988257;12506,429096232;12867,55003126;13981,063276093;13839,752627527;15809,0455447339;17391,9112716438;17625,3078204134;17512,3152124982;17588,9326927702;18465,7603152882;18872,7694041993;19167,2368962868;19135,5794901313;19523,6592933818;19326,9233465474;19335,450997241
